ROW,COL,LAT,LON,FID,FID_Grilla,FECHA_INI,FECHA_FIN,AREA_m2,Dias
28.0,34.0,4.603096,-74.0989459999999,55.0,1017.0,41000.0,41152.0,1593.7190479031199,110.0
28.0,34.0,4.603096,-74.0989459999999,56.0,1017.0,41122.0,41305.0,832.67,132.0
28.0,34.0,4.603096,-74.0989459999999,57.0,1017.0,41000.0,41305.0,3753.6,219.0
28.0,34.0,4.603096,-74.0989459999999,58.0,1017.0,41122.0,41333.0,1021.0,152.0
28.0,34.0,4.603096,-74.0989459999999,59.0,1017.0,41000.0,41152.0,1376.3487,110.0
28.0,34.0,4.603096,-74.0989459999999,60.0,1017.0,41000.0,41152.0,1016.3685714285714,110.0
28.0,34.0,4.603096,-74.0989459999999,61.0,1017.0,40909.0,41152.0,3060.6683251849227,175.0
28.0,34.0,4.603096,-74.0989459999999,62.0,1017.0,41000.0,41152.0,1801.0387857142857,110.0
28.0,34.0,4.603096,-74.0989459999999,63.0,1017.0,41000.0,41243.0,800.0,175.0
28.0,34.0,4.603096,-74.0989459999999,64.0,1017.0,41000.0,41243.0,275.0,175.0
28.0,35.0,4.603096,-74.0899509999999,65.0,1018.0,40634.0,40999.0,1187.36546910517,261.0
28.0,35.0,4.603096,-74.0899509999999,66.0,1018.0,40664.0,40999.0,400.0,240.0
28.0,35.0,4.603096,-74.0899509999999,67.0,1018.0,40940.0,41152.0,449.7725,153.0
28.0,35.0,4.603096,-74.0899509999999,68.0,1018.0,41122.0,41305.0,623.22033543313,132.0
29.0,32.0,4.612068,-74.1169359999999,69.0,1021.0,40664.0,40939.0,225.0,197.0
29.0,32.0,4.612068,-74.1169359999999,70.0,1021.0,41030.0,41243.0,350.0,154.0
29.0,32.0,4.612068,-74.1169359999999,71.0,1021.0,40909.0,41029.0,500.0,86.0
29.0,33.0,4.612068,-74.1079409999999,72.0,1019.0,40603.0,41029.0,150.0,305.0
29.0,33.0,4.612068,-74.1079409999999,73.0,1019.0,40575.0,41029.0,175.0,325.0
29.0,33.0,4.612068,-74.1079409999999,74.0,1019.0,40634.0,41029.0,456.3,282.0
29.0,33.0,4.612068,-74.1079409999999,75.0,1019.0,40664.0,40939.0,225.0,197.0
29.0,35.0,4.612068,-74.0899509999999,76.0,1020.0,40634.0,40999.0,2466.3959999999997,261.0
29.0,35.0,4.612068,-74.0899509999999,77.0,1020.0,40634.0,40999.0,1187.36546910517,261.0
29.0,35.0,4.612068,-74.0899509999999,78.0,1020.0,41153.0,41333.0,3406.344161428571,129.0
29.0,35.0,4.612068,-74.0899509999999,79.0,1020.0,41122.0,41333.0,3188.595610135714,152.0
29.0,35.0,4.612068,-74.0899509999999,80.0,1020.0,41030.0,41243.0,1935.5,154.0
29.0,35.0,4.612068,-74.0899509999999,81.0,1020.0,41122.0,41305.0,2650.5939285714285,132.0
29.0,35.0,4.612068,-74.0899509999999,82.0,1020.0,41122.0,41305.0,2721.1442857142856,132.0
30.0,33.0,4.621033,-74.1079409999999,83.0,2022.0,40603.0,41152.0,2500.0,394.0
30.0,33.0,4.621033,-74.1079409999999,84.0,2022.0,40756.0,41152.0,2500.0,285.0
30.0,33.0,4.621033,-74.1079409999999,85.0,2022.0,40452.0,41029.0,750.0,412.0
30.0,33.0,4.621033,-74.1079409999999,86.0,2022.0,40452.0,41029.0,700.0,412.0
30.0,33.0,4.621033,-74.1079409999999,87.0,2022.0,40452.0,41029.0,500.0,412.0
30.0,33.0,4.621033,-74.1079409999999,88.0,2022.0,40452.0,41029.0,500.0,412.0
30.0,33.0,4.621033,-74.1079409999999,89.0,2022.0,40452.0,41029.0,450.0,412.0
30.0,33.0,4.621033,-74.1079409999999,90.0,2022.0,40452.0,41029.0,450.0,412.0
30.0,33.0,4.621033,-74.1079409999999,91.0,2022.0,40452.0,41029.0,400.0,412.0
30.0,33.0,4.621033,-74.1079409999999,92.0,2022.0,40452.0,41029.0,300.0,412.0
30.0,33.0,4.621033,-74.1079409999999,93.0,2022.0,40452.0,41029.0,400.0,412.0
30.0,33.0,4.621033,-74.1079409999999,94.0,2022.0,40452.0,41029.0,450.0,412.0
30.0,33.0,4.621033,-74.1079409999999,95.0,2022.0,40603.0,41029.0,550.0,305.0
30.0,33.0,4.621033,-74.1079409999999,96.0,2022.0,40603.0,41029.0,115.65,305.0
30.0,33.0,4.621033,-74.1079409999999,97.0,2022.0,40603.0,41029.0,115.65,305.0
30.0,33.0,4.621033,-74.1079409999999,98.0,2022.0,40603.0,41029.0,150.0,305.0
30.0,33.0,4.621033,-74.1079409999999,99.0,2022.0,40575.0,41029.0,175.0,325.0
30.0,33.0,4.621033,-74.1079409999999,100.0,2022.0,40452.0,41029.0,200.0,412.0
30.0,36.0,4.621033,-74.080956,101.0,2023.0,40725.0,41029.0,250.0,217.0
31.0,32.0,4.629997,-74.1169359999999,102.0,2024.0,40848.0,41152.0,1811.25,219.0
31.0,33.0,4.629997,-74.1079409999999,103.0,2025.0,40848.0,41152.0,1811.25,219.0
31.0,33.0,4.629997,-74.1079409999999,104.0,2025.0,40575.0,40939.0,3300.0,261.0
31.0,33.0,4.629997,-74.1079409999999,105.0,2025.0,40756.0,41152.0,3300.0,285.0
32.0,37.0,4.638962,-74.07196,106.0,2026.0,41091.0,41274.0,400.0,131.0
33.0,36.0,4.647919,-74.080956,107.0,2028.0,40787.0,41152.0,475.0,262.0
33.0,36.0,4.647919,-74.080956,108.0,2028.0,40695.0,41152.0,475.0,328.0
33.0,36.0,4.647919,-74.080956,109.0,2028.0,40817.0,41152.0,400.0,240.0
33.0,36.0,4.647919,-74.080956,110.0,2028.0,40725.0,41152.0,400.0,306.0
33.0,36.0,4.647919,-74.080956,111.0,2028.0,40878.0,41152.0,400.0,197.0
33.0,36.0,4.647919,-74.080956,112.0,2028.0,40725.0,41152.0,400.0,306.0
33.0,36.0,4.647919,-74.080956,113.0,2028.0,40725.0,41152.0,650.0,306.0
33.0,36.0,4.647919,-74.080956,114.0,2028.0,40878.0,41152.0,600.0,197.0
33.0,36.0,4.647919,-74.080956,115.0,2028.0,40725.0,41152.0,600.0,306.0
33.0,36.0,4.647919,-74.080956,116.0,2028.0,40878.0,41152.0,600.0,197.0
33.0,36.0,4.647919,-74.080956,117.0,2028.0,40756.0,41152.0,600.0,285.0
33.0,36.0,4.647919,-74.080956,118.0,2028.0,40878.0,41152.0,600.0,197.0
33.0,36.0,4.647919,-74.080956,119.0,2028.0,40756.0,41152.0,600.0,285.0
33.0,36.0,4.647919,-74.080956,120.0,2028.0,40787.0,41152.0,400.0,262.0
33.0,36.0,4.647919,-74.080956,121.0,2028.0,40909.0,41152.0,650.0,175.0
34.0,36.0,4.656898,-74.080956,122.0,2029.0,40756.0,40999.0,400.0,175.0
34.0,36.0,4.656898,-74.080956,123.0,2029.0,40664.0,40999.0,400.0,240.0
34.0,36.0,4.656898,-74.080956,124.0,2029.0,40756.0,41152.0,400.0,285.0
34.0,36.0,4.656898,-74.080956,125.0,2029.0,40664.0,40999.0,400.0,240.0
34.0,36.0,4.656898,-74.080956,126.0,2029.0,40725.0,41152.0,300.0,306.0
34.0,36.0,4.656898,-74.080956,127.0,2029.0,40695.0,41152.0,300.0,328.0
34.0,36.0,4.656898,-74.080956,128.0,2029.0,40756.0,41152.0,450.0,285.0
