ID,FID_Grilla,ROW,COL,LAT,LON,AREA,Dias,Seg,PM25(g/proyecto),PM25 (E(g/d)),PM25(g),PM25(t),PM10(g/proyecto),PM10 (E(g/d)),PM10(g),PM10(t)
0,1010,25,34,4.576202,-74.0989459999999,1166.93004429,109,4316400,75554.0526473,693.156446306,75554.0526473,0.0755540526473,967091.873886,8872.40251271,967091.873886,0.967091873886
1,1010,25,34,4.576202,-74.0989459999999,1003.28571429,196,7761600,116806.536,595.951714286,116806.536,0.116806536,1495123.6608,7628.18194286,1495123.6608,1.4951236608
2,1010,25,34,4.576202,-74.0989459999999,200.0,109,4316400,12949.2,118.8,12949.2,0.0129492,165749.76,1520.64,165749.76,0.16574976
3,1010,25,34,4.576202,-74.0989459999999,1192.30862214,109,4316400,77197.2140493,708.231321553,77197.2140493,0.0771972140493,988124.339831,9065.36091588,988124.339831,0.988124339831
4,1010,25,34,4.576202,-74.0989459999999,201.39,109,4316400,13039.19694,119.62566,13039.19694,0.01303919694,166901.720832,1531.208448,166901.720832,0.166901720832
5,1011,26,34,4.585175,-74.0989459999999,954.67,175,6930000,99237.9465,567.07398,99237.9465,0.0992379465,1270245.7152,7258.546944,1270245.7152,1.2702457152
6,1011,26,34,4.585175,-74.0989459999999,925.47,175,6930000,96202.6065,549.72918,96202.6065,0.0962026065,1231393.3632,7036.533504,1231393.3632,1.2313933632
7,1011,26,34,4.585175,-74.0989459999999,538.35,240,9504000,76747.176,319.7799,76747.176,0.076747176,982363.8528,4093.18272,982363.8528,0.9823638528
8,1011,26,34,4.585175,-74.0989459999999,322.32,88,3484800,16848.31104,191.45808,16848.31104,0.01684831104,215658.381312,2450.663424,215658.381312,0.215658381312
9,1011,26,34,4.585175,-74.0989459999999,1049.12677429,109,4316400,67926.7621279,623.181303926,67926.7621279,0.0679267621279,869462.555237,7976.72069025,869462.555237,0.869462555237
10,1011,26,34,4.585175,-74.0989459999999,300.0,109,4316400,19423.8,178.2,19423.8,0.0194238,248624.64,2280.96,248624.64,0.24862464
11,1011,26,34,4.585175,-74.0989459999999,305.819942857,109,4316400,19800.6180202,181.657046057,19800.6180202,0.0198006180202,253447.910659,2325.21018953,253447.910659,0.253447910659
12,1011,26,34,4.585175,-74.0989459999999,400.0,131,5187600,31125.6,237.6,31125.6,0.0311256,398407.68,3041.28,398407.68,0.39840768
13,1011,26,34,4.585175,-74.0989459999999,201.39,109,4316400,13039.19694,119.62566,13039.19694,0.01303919694,166901.720832,1531.208448,166901.720832,0.166901720832
14,1011,26,34,4.585175,-74.0989459999999,432.635,285,11286000,73240.77915,256.98519,73240.77915,0.07324077915,937481.97312,3289.410432,937481.97312,0.93748197312
15,1012,27,31,4.594131,-74.125923,788.3,240,9504000,112380.048,468.2502,112380.048,0.112380048,1438464.6144,5993.60256,1438464.6144,1.4384646144
16,1013,27,34,4.594131,-74.0989459999999,727.018,350,13860000,151147.0422,431.848692,151147.0422,0.1511470422,1934682.14016,5527.6632576,1934682.14016,1.93468214016
17,1013,27,34,4.594131,-74.0989459999999,931.5,350,13860000,193658.85,553.311,193658.85,0.19365885,2478833.28,7082.3808,2478833.28,2.47883328
18,1013,27,34,4.594131,-74.0989459999999,543.2,285,11286000,91958.328,322.6608,91958.328,0.091958328,1177066.5984,4130.05824,1177066.5984,1.1770665984
19,1013,27,34,4.594131,-74.0989459999999,432.635,285,11286000,73240.77915,256.98519,73240.77915,0.07324077915,937481.97312,3289.410432,937481.97312,0.93748197312
20,1013,27,34,4.594131,-74.0989459999999,275.0,175,6930000,28586.25,163.35,28586.25,0.02858625,365904.0,2090.88,365904.0,0.365904
21,1014,28,30,4.603096,-74.1349179999999,550.0,240,9504000,78408.0,326.7,78408.0,0.078408,1003622.4,4181.76,1003622.4,1.0036224
22,1014,28,30,4.603096,-74.1349179999999,250.0,175,6930000,25987.5,148.5,25987.5,0.0259875,332640.0,1900.8,332640.0,0.33264
23,1014,28,30,4.603096,-74.1349179999999,500.0,175,6930000,51975.0,297.0,51975.0,0.051975,665280.0,3801.6,665280.0,0.66528
24,1014,28,30,4.603096,-74.1349179999999,500.0,175,6930000,51975.0,297.0,51975.0,0.051975,665280.0,3801.6,665280.0,0.66528
25,1014,28,30,4.603096,-74.1349179999999,500.0,132,5227200,39204.0,297.0,39204.0,0.039204,501811.2,3801.6,501811.2,0.5018112
26,1014,28,30,4.603096,-74.1349179999999,811.8,89,3524400,42916.6188,482.2092,42916.6188,0.0429166188,549332.72064,6172.27776,549332.72064,0.54933272064
